id1,id2,level,description
91,12,Low,경미한 영향
32,16,Low,경미한 영향
76,12,Moderate,경미한 부작용
33,55,Low,경미한 영향
88,46,Moderate,일시적 증상 발생
61,24,Low,동시 복용 가능
82,66,High,출혈 위험 증가
1026,58,Moderate,경미한 부작용
19,7,High,독성 상승
62,80,Low,부작용 가능성 낮음
92,70,Moderate,간 효소 변화
18,45,High,독성 상승
1,80,Moderate,경미한 부작용
1076,73,Moderate,약효 변화 가능
14,54,High,출혈 위험 증가
21,44,High,대사 억제
79,35,Moderate,약효 변화 가능
76,1050,Low,동시 복용 가능
42,2,High,효과 감소
64,98,Moderate,일시적 증상 발생
33,76,Moderate,일시적 증상 발생
25,1019,Moderate,간 효소 변화
56,1048,Moderate,효과 지연
36,98,Low,동시 복용 가능
56,22,Moderate,간 효소 변화
48,77,Moderate,약효 변화 가능
53,44,High,심각한 부작용 가능성
4,80,High,출혈 위험 증가
1019,16,High,독성 상승
32,5,Low,경미한 영향
43,1019,Moderate,경미한 부작용
91,59,Moderate,약효 변화 가능
32,1026,High,출혈 위험 증가
94,3,Low,경미한 영향
1026,2,High,대사 억제
13,88,Low,상호작용 없음
28,61,High,심각한 부작용 가능성
36,17,Moderate,경미한 부작용
7,34,Low,경미한 영향
18,48,Moderate,간 효소 변화
67,70,Moderate,간 효소 변화
1027,1076,Low,동시 복용 가능
71,1004,Moderate,경미한 부작용
91,62,Moderate,간 효소 변화
16,54,Low,상호작용 없음
60,17,High,효과 감소
94,15,High,효과 감소
27,24,Moderate,약효 변화 가능
1066,76,Low,경미한 영향
50,80,Moderate,약효 변화 가능
1,5,High,대사 억제
56,15,Moderate,효과 지연
51,53,Low,부작용 가능성 낮음
50,1050,Low,부작용 가능성 낮음
52,1048,Moderate,경미한 부작용
27,1026,High,심각한 부작용 가능성
12,54,Moderate,경미한 부작용
11,68,High,심각한 부작용 가능성
59,6,Moderate,간 효소 변화
76,37,Low,상호작용 없음
36,18,Moderate,약효 변화 가능
33,82,High,심각한 부작용 가능성
1020,1019,Low,상호작용 없음
88,70,High,심각한 부작용 가능성
60,37,High,효과 감소
78,46,Low,부작용 가능성 낮음
6,77,Low,상호작용 없음
23,81,High,심각한 부작용 가능성
25,27,Low,부작용 가능성 낮음
9,70,Moderate,일시적 증상 발생
3,14,Moderate,일시적 증상 발생
94,92,Moderate,효과 지연
88,92,Low,경미한 영향
3,73,Moderate,효과 지연
89,77,High,심각한 부작용 가능성
92,31,Low,부작용 가능성 낮음
89,36,High,효과 감소
69,77,Low,경미한 영향
15,53,High,대사 억제
1022,16,High,출혈 위험 증가
20,80,High,출혈 위험 증가
71,57,Moderate,일시적 증상 발생
23,31,Low,동시 복용 가능
81,24,High,대사 억제
4,46,High,심각한 부작용 가능성
52,1054,High,심각한 부작용 가능성
30,40,Moderate,약효 변화 가능
1053,39,Moderate,일시적 증상 발생
47,40,Moderate,경미한 부작용
38,45,High,독성 상승
3,92,Low,부작용 가능성 낮음
94,13,Moderate,일시적 증상 발생
3,62,High,독성 상승
21,48,High,심각한 부작용 가능성
9,1004,High,대사 억제
10,40,High,대사 억제
28,22,Low,경미한 영향
46,1004,High,독성 상승
28,67,Low,동시 복용 가능
32,45,Moderate,간 효소 변화
1001,1006,Low,흡수 최적화를 위해 시간 차 복용 권장
1001,1007,Low, 뼈 건강에 시너지 (특별한 부작용 없음)
1001,1003,Low,칼슘 대사 균형 위해 함께 복용
1001,1011,Low,지용성 흡수 향상
1001,1044,Moderate,지용성 비타민 축적 주의
1002,1009,High,철 흡수 급증으로 위장 불편 가능
1002,1008,Moderate,면역 증강 목적 병용 흔함
1002,1007,Low,특이 상호작용 보고 없음
1002,1045,Low,항산화 시너지
1002,1048,Low,항산화 효과 상승
1007,1008,Low,미네랄 간 흡수 경쟁 경미
1007,1006,Moderate,고용량 병용 시 설사 위험
1007,1009,Low,경미한 흡수 지연 가능
1007,1024,Moderate,섬유소가 미네랄 흡수 저해
1007,1041,Low,특이 상호작용 보고 없음
1006,1009,Moderate,철 흡수 감소
1006,1003,Low,골밀도 보조 목적 병용
1006,1044,Low,특이 상호작용 없음
1011,1045,Moderate,공동 항응고 효과로 멍 증가 가능
1011,1013,Low,심혈관 시너지
1011,1018,Moderate,경미한 항응고 효과 상승
1011,1038,High,출혈 위험 증가
1013,1048,Low,항산화 효과 상승
1013,1045,Moderate,지용성 항산화제 축적 주의
1013,1040,Low,대사 시너지
1014,1024,Low,장 건강 증진
1014,1029,Low,균주 다양성 증가
1014,1025,Low,특이 상호작용 없음
1017,1002,Low,콜라겐 합성 촉진
