id1,id2,level,description
L-Carnitine,Levofloxacin,Low,경미한 영향
Apixaban,Metformin,Low,경미한 영향
Iron(FeSO4),Levofloxacin,Moderate,경미한 부작용
Clopidogrel,Finasteride,Low,경미한 영향
CoQ10,Prednisone,Moderate,일시적 증상 발생
Diphenhydramine,Valsartan,Low,동시 복용 가능
St. John’s Wort,Valproic Acid,High,출혈 위험 증가
Ginkgo Biloba,Montelukast,Moderate,경미한 부작용
Empagliflozin,Morphine,High,독성 상승
Loratadine,Omega-3,Low,부작용 가능성 낮음
Creatine,Pregabalin,Moderate,간 효소 변화
Insulin Glargine,Olanzapine,High,독성 상승
Acetaminophen,Omega-3,Moderate,경미한 부작용
Echinacea,Ethanol,Moderate,약효 변화 가능
Clarithromycin,Sildenafil,High,출혈 위험 증가
Lisinopril,Quetiapine,High,대사 억제
Calcium Carbonate,Omeprazole,Moderate,약효 변화 가능
Iron(FeSO4),Spirulina,Low,동시 복용 가능
Amitriptyline,Ibuprofen,High,효과 감소
Isoniazid,Maca Root,Moderate,일시적 증상 발생
Clopidogrel,Iron(FeSO4),Moderate,일시적 증상 발생
Amlodipine,Glucosamine,Moderate,간 효소 변화
Allopurinol,Resveratrol,Moderate,효과 지연
Esomeprazole,Maca Root,Low,동시 복용 가능
Allopurinol,Enalapril,Moderate,간 효소 변화
Methotrexate,Zinc Gluconate,Moderate,약효 변화 가능
Nitroglycerin,Quetiapine,High,심각한 부작용 가능성
Naproxen,Omega-3,High,출혈 위험 증가
Glucosamine,Metformin,High,독성 상승
Apixaban,Diclofenac,Low,경미한 영향
Bupropion,Glucosamine,Moderate,경미한 부작용
L-Carnitine,Salbutamol,Moderate,약효 변화 가능
Apixaban,Ginkgo Biloba,High,출혈 위험 증가
Arginine,Aspirin,Low,경미한 영향
Ginkgo Biloba,Ibuprofen,High,대사 억제
Azithromycin,CoQ10,Low,상호작용 없음
Atorvastatin,Diphenhydramine,High,심각한 부작용 가능성
Esomeprazole,Glipizide,Moderate,경미한 부작용
Morphine,Ticagrelor,Low,경미한 영향
Insulin Glargine,Methotrexate,Moderate,간 효소 변화
Carbamazepine,Pregabalin,Moderate,간 효소 변화
Ashwagandha,Echinacea,Low,동시 복용 가능
Caffeine,Vitamin B12,Moderate,경미한 부작용
L-Carnitine,Loratadine,Moderate,간 효소 변화
Metformin,Sildenafil,Low,상호작용 없음
Budesonide,Glipizide,High,효과 감소
Arginine,Doxycycline,High,효과 감소
Furosemide,Valsartan,Moderate,약효 변화 가능
Beta-Alanine,Iron(FeSO4),Low,경미한 영향
Cyclophosphamide,Omega-3,Moderate,약효 변화 가능
Acetaminophen,Diclofenac,High,대사 억제
Allopurinol,Doxycycline,Moderate,효과 지연
Levothyroxine,Nitroglycerin,Low,부작용 가능성 낮음
Cyclophosphamide,Spirulina,Low,부작용 가능성 낮음
Digoxin,Resveratrol,Moderate,경미한 부작용
Furosemide,Ginkgo Biloba,High,심각한 부작용 가능성
Levofloxacin,Sildenafil,Moderate,경미한 부작용
Ciprofloxacin,Phenytoin,High,심각한 부작용 가능성
Salbutamol,Tramadol,Moderate,간 효소 변화
Iron(FeSO4),Ranitidine,Low,상호작용 없음
Esomeprazole,Insulin Glargine,Moderate,약효 변화 가능
Clopidogrel,St. John’s Wort,High,심각한 부작용 가능성
Chondroitin,Glucosamine,Low,상호작용 없음
CoQ10,Pregabalin,High,심각한 부작용 가능성
Budesonide,Ranitidine,High,효과 감소
Magnesium Oxide,Prednisone,Low,부작용 가능성 낮음
Tramadol,Zinc Gluconate,Low,상호작용 없음
Losartan,Probiotic,High,심각한 부작용 가능성
Amlodipine,Furosemide,Low,부작용 가능성 낮음
Amoxicillin,Pregabalin,Moderate,일시적 증상 발생
Aspirin,Clarithromycin,Moderate,일시적 증상 발생
Arginine,Creatine,Moderate,효과 지연
CoQ10,Creatine,Low,경미한 영향
Aspirin,Ethanol,Moderate,효과 지연
Curcumin,Zinc Gluconate,High,심각한 부작용 가능성
Creatine,Warfarin,Low,부작용 가능성 낮음
Curcumin,Esomeprazole,High,효과 감소
Gabapentin,Zinc Gluconate,Low,경미한 영향
Doxycycline,Nitroglycerin,High,대사 억제
Melatonin,Metformin,High,출혈 위험 증가
Liraglutide,Omega-3,High,출혈 위험 증가
Caffeine,Colchicine,Moderate,일시적 증상 발생
Losartan,Warfarin,Low,동시 복용 가능
Probiotic,Valsartan,High,대사 억제
Naproxen,Prednisone,High,심각한 부작용 가능성
Digoxin,GABA,High,심각한 부작용 가능성
Rosuvastatin,Sertraline,Moderate,약효 변화 가능
5-HTP,Diazepam,Moderate,일시적 증상 발생
Dexamethasone,Sertraline,Moderate,경미한 부작용
Alprazolam,Olanzapine,High,독성 상승
Aspirin,Creatine,Low,부작용 가능성 낮음
Arginine,Azithromycin,Moderate,일시적 증상 발생
Aspirin,Loratadine,High,독성 상승
