supp_id,supp_name,supp_name_ko,category,company
1001,Vitamin D3,비타민 D3 (콜레칼시페롤),비타민,NOW Foods
1002,Vitamin C,비타민 C (아스코르브산),비타민,Nature's Bounty
1003,Vitamin K2,비타민 K2,비타민,Thorne
1004,Vitamin B12,비타민 B12 (코발라민),비타민,Jarrow Formulas
1005,Folic Acid,엽산,비타민,Nature Made
1006,Calcium Citrate,구연산칼슘,미네랄,Kirkland Signature
1007,Magnesium,마그네슘,미네랄,Doctor's Best
1008,Zinc,아연,미네랄,NOW Foods
1009,Iron,철분,미네랄,Solgar
1010,Selenium,셀레늄,미네랄,Pure Encapsulations
1011,Omega-3 Fish Oil,오메가-3 어유,오메가-3,Nordic Naturals
1012,Cod Liver Oil,대구간유,오메가-3,Carlson
1013,Coenzyme Q10,코엔자임 Q10,엔자임 보조제,Qunol
1014,Probiotics,프로바이오틱스,프로바이오틱스,Garden of Life
1015,Multivitamin (Men),남성용 종합비타민,종합비타민,Centrum
1016,Multivitamin (Women),여성용 종합비타민,종합비타민,Garden of Life
1017,Collagen,콜라겐 펩타이드,단백질/콜라겐,Vital Proteins
1018,Curcumin (Turmeric),커큐민 (강황),허브/항염,Gaia Herbs
1019,Glucosamine,글루코사민,관절보호,Osteo Bi-Flex
1020,Chondroitin,콘드로이틴,관절보호,Nature's Bounty
1021,SAM-e,에스에이엠-이,관절보호,Doctor's Best
1022,Melatonin,멜라토닌,수면보조,Natrol
1023,Magnesium Glycinate,마그네슘 글리시네이트,미네랄,Pure Encapsulations
1024,Fiber (Psyllium),차전자피 식이섬유,식이섬유,Metamucil
1025,Green Tea Extract,녹차 추출물,항산화,Nature's Way
1026,Ginkgo Biloba,은행잎 (Ginkgo Biloba),허브,Puritan's Pride
1027,Ashwagandha,아슈와간다,허브/스트레스,KSM-66
1028,CoQ10 Ubiquinol,유비퀴놀 Q10,엔자임 보조제,Kaneka
1029,Probiotic + Prebiotic,프로바이오틱스 + 프리바이오틱스,프로바이오틱스,Renew Life
1030,Calcium + Vitamin D,칼슘 + 비타민 D,미네랄,Caltrate
1031,Collagen Type II,콜라겐 타입 II,단백질/콜라겐,Doctor's Best
1032,Lutein,루테인,항산화,NOW Foods
1033,Zeaxanthin,제아잔틴,항산화,Solaray
1034,Astaxanthin,아스타잔틴,항산화,Swanson
1035,Milk Thistle,밀크시슬,간 건강,Nature's Bounty
1036,Saw Palmetto,쏘팔메토,허브,NOW Foods
1037,Elderberry,엘더베리,면역,Gaia Herbs
1038,Garlic Extract,마늘 추출물,허브,Kyolic
1039,N-Acetyl Cysteine,N-아세틸시스테인,항산화,Jarrow Formulas
